%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle2;700;100;46344;0;100;47046;B594;PL
Vehicle0;0;100;46644;410;100;47056;B303;PU
Vehicle2;0;100;47046;700;100;47748;B593;PU
Vehicle0;410;100;47056;0;100;47468;B303;PL
Vehicle1;760;100;47102;0;100;47864;B654;PL
Vehicle0;0;100;47468;410;100;47880;B302;PU
Vehicle2;700;100;47748;700;100;47750;B592;PU
Vehicle2;700;100;47750;0;100;48452;B592;PL
Vehicle1;0;100;47864;760;100;48626;B653;PU
Vehicle0;410;100;47880;410;100;47882;B301;PU
Vehicle0;410;100;47882;0;100;48294;B301;PL
Vehicle0;0;100;48294;630;100;48926;B529;PU
Vehicle2;0;100;48452;800;100;49254;B699;PU
Vehicle1;760;100;48626;140;100;49248;B653;PL_RELOC
Vehicle0;630;100;48926;210;100;49348;B529;PL_RELOC
Vehicle1;140;100;49248;140;100;49250;B656;PL_RELOC
Vehicle1;140;100;49250;140;100;49252;B657;PL_RELOC
Vehicle1;140;100;49252;140;100;49254;B658;PL_RELOC
Vehicle1;140;100;49254;140;100;49256;B659;PL_RELOC
Vehicle2;800;100;49254;150;100;49906;B699;PL_RELOC
Vehicle1;140;100;49256;760;100;49878;B652;PU
Vehicle0;210;100;49348;210;100;49350;B302;PL_RELOC
Vehicle0;210;100;49350;210;100;49352;B305;PL_RELOC
Vehicle0;210;100;49352;210;100;49354;B306;PL_RELOC
Vehicle0;210;100;49354;630;100;49776;B528;PU
Vehicle0;630;100;49776;630;100;49778;B527;PU
Vehicle0;630;100;49778;0;100;50410;B527;PL
Vehicle1;760;100;49878;0;100;50640;B652;PL
Vehicle2;150;100;49906;150;100;49908;B593;PL_RELOC
Vehicle2;150;100;49908;150;100;49910;B595;PL_RELOC
Vehicle2;150;100;49910;150;100;49912;B596;PL_RELOC
Vehicle2;150;100;49912;150;100;49914;B598;PL_RELOC
Vehicle2;150;100;49914;800;100;50566;B698;PU
Vehicle0;0;100;50410;630;100;51042;B526;PU
Vehicle2;800;100;50566;0;100;51368;B698;PL
Vehicle1;0;100;50640;930;100;51572;B829;PU
Vehicle0;630;100;51042;630;100;51044;B525;PU
Vehicle0;630;100;51044;630;100;51046;B524;PU
Vehicle0;630;100;51046;840;100;51258;B524;PL_RELOC
Vehicle0;840;100;51258;840;100;51260;B525;PL_RELOC
Vehicle0;840;100;51260;840;100;51262;B526;PL_RELOC
Vehicle0;840;100;51262;840;100;51264;B528;PL_RELOC
Vehicle0;840;100;51264;840;100;51266;B307;PL_RELOC
Vehicle0;840;100;51266;630;100;51478;B523;PU
Vehicle2;0;100;51368;800;100;52170;B697;PU
Vehicle0;630;100;51478;0;100;52110;B523;PL
Vehicle1;930;100;51572;930;100;51574;B828;PU
Vehicle1;930;100;51574;0;100;52506;B828;PL
Vehicle0;0;100;52110;630;100;52742;B522;PU
Vehicle2;800;100;52170;800;100;52172;B696;PU
Vehicle2;800;100;52172;800;100;52174;B695;PU
Vehicle2;800;100;52174;800;100;52176;B694;PU
Vehicle2;800;100;52176;0;100;52978;B694;PL
Vehicle1;0;100;52506;930;100;53438;B827;PU
Vehicle0;630;100;52742;630;100;52744;B521;PU
Vehicle0;630;100;52744;630;100;52746;B520;PU
Vehicle0;630;100;52746;0;100;53378;B520;PL
Vehicle2;0;100;52978;800;100;53780;B693;PU
Vehicle0;0;100;53378;710;100;54090;B609;PU
Vehicle1;930;100;53438;930;100;53440;B826;PU
Vehicle1;930;100;53440;930;100;53442;B825;PU
Vehicle1;930;100;53442;930;100;53444;B824;PU
Vehicle1;930;100;53444;140;100;54236;B824;PL_RELOC
Vehicle2;800;100;53780;0;100;54582;B693;PL
Vehicle0;710;100;54090;710;100;54092;B608;PU
Vehicle0;710;100;54092;710;100;54094;B607;PU
Vehicle0;710;100;54094;0;100;54806;B607;PL
Vehicle1;140;100;54236;140;100;54238;B825;PL_RELOC
Vehicle1;140;100;54238;140;100;54240;B826;PL_RELOC
Vehicle1;140;100;54240;140;100;54242;B827;PL_RELOC
Vehicle1;140;100;54242;140;100;54244;B829;PL_RELOC
Vehicle1;140;100;54244;930;100;55036;B823;PU
Vehicle2;0;100;54582;940;100;55524;B839;PU
Vehicle0;0;100;54806;710;100;55518;B606;PU
Vehicle1;930;100;55036;0;100;55968;B823;PL
Vehicle0;710;100;55518;0;100;56230;B606;PL
Vehicle2;940;100;55524;940;100;55526;B838;PU
Vehicle2;940;100;55526;150;100;56318;B838;PL_RELOC
Vehicle1;0;100;55968;930;100;56900;B822;PU
Vehicle0;0;100;56230;710;100;56942;B605;PU
Vehicle2;150;100;56318;150;100;56320;B839;PL_RELOC
Vehicle2;150;100;56320;150;100;56322;B695;PL_RELOC
Vehicle2;150;100;56322;150;100;56324;B696;PL_RELOC
Vehicle2;150;100;56324;150;100;56326;B697;PL_RELOC
Vehicle2;150;100;56326;940;100;57118;B837;PU
Vehicle1;930;100;56900;930;100;56902;B821;PU
Vehicle1;930;100;56902;930;100;56904;B820;PU
Vehicle1;930;100;56904;0;100;57836;B820;PL
Vehicle0;710;100;56942;840;100;57074;B605;PL_RELOC
Vehicle0;840;100;57074;840;100;57076;B608;PL_RELOC
Vehicle0;840;100;57076;840;100;57078;B609;PL_RELOC
Vehicle0;840;100;57078;840;100;57080;B521;PL_RELOC
Vehicle0;840;100;57080;840;100;57082;B522;PL_RELOC
Vehicle0;840;100;57082;710;100;57214;B604;PU
Vehicle2;940;100;57118;940;100;57120;B836;PU
Vehicle2;940;100;57120;0;100;58062;B836;PL
Vehicle0;710;100;57214;710;100;57216;B603;PU
Vehicle0;710;100;57216;710;100;57218;B602;PU
Vehicle0;710;100;57218;710;100;57220;B601;PU
Vehicle0;710;100;57220;0;100;57932;B601;PL
Vehicle1;0;100;57836;120;100;57958;B19;PU
Vehicle0;0;100;57932;850;100;58784;B749;PU
Vehicle1;120;100;57958;120;100;57960;B18;PU
Vehicle1;120;100;57960;0;100;58082;B18;PL
Vehicle2;0;100;58062;940;100;59004;B835;PU
Vehicle1;0;100;58082;120;100;58204;B17;PU
Vehicle1;120;100;58204;120;100;58206;B16;PU
Vehicle1;120;100;58206;330;100;58418;B16;PL_RELOC
Vehicle1;330;100;58418;330;100;58420;B17;PL_RELOC
Vehicle1;330;100;58420;330;100;58422;B19;PL_RELOC
Vehicle1;330;100;58422;330;100;58424;B821;PL_RELOC
Vehicle1;330;100;58424;330;100;58426;B822;PL_RELOC
Vehicle1;330;100;58426;120;100;58638;B15;PU
Vehicle1;120;100;58638;120;100;58640;B14;PU
Vehicle1;120;100;58640;0;100;58762;B14;PL
Vehicle1;0;100;58762;200;100;58964;B99;PU
Vehicle0;850;100;58784;850;100;58786;B748;PU
Vehicle0;850;100;58786;0;100;59638;B748;PL
Vehicle1;200;100;58964;200;100;58966;B98;PU
Vehicle1;200;100;58966;200;100;58968;B97;PU
Vehicle1;200;100;58968;200;100;58970;B96;PU
Vehicle1;200;100;58970;330;100;59102;B96;PL_RELOC
Vehicle2;940;100;59004;0;100;59946;B835;PL
Vehicle1;330;100;59102;330;100;59104;B97;PL_RELOC
Vehicle1;330;100;59104;330;100;59106;B98;PL_RELOC
Vehicle1;330;100;59106;330;100;59108;B99;PL_RELOC
Vehicle1;330;100;59108;330;100;59110;B15;PL_RELOC
Vehicle1;330;100;59110;200;100;59242;B95;PU
Vehicle1;200;100;59242;200;100;59244;B94;PU
Vehicle1;200;100;59244;200;100;59246;B93;PU
Vehicle1;200;100;59246;0;100;59448;B93;PL
Vehicle1;0;100;59448;200;100;59650;B92;PU
Vehicle0;0;100;59638;850;100;60490;B747;PU
Vehicle1;200;100;59650;0;100;59852;B92;PL
Vehicle1;0;100;59852;290;100;60144;B188;PU
Vehicle2;0;100;59946;940;100;60888;B834;PU
Vehicle1;290;100;60144;290;100;60146;B187;PU
Vehicle1;290;100;60146;0;100;60438;B187;PL
Vehicle1;0;100;60438;290;100;60730;B186;PU
Vehicle0;850;100;60490;840;100;60502;B747;PL_RELOC
Vehicle0;840;100;60502;840;100;60504;B749;PL_RELOC
Vehicle0;840;100;60504;840;100;60506;B602;PL_RELOC
Vehicle0;840;100;60506;840;100;60508;B603;PL_RELOC
Vehicle0;840;100;60508;840;100;60510;B604;PL_RELOC
Vehicle0;840;100;60510;850;100;60522;B746;PU
Vehicle0;850;100;60522;0;100;61374;B746;PL
Vehicle1;290;100;60730;290;100;60732;B185;PU
Vehicle1;290;100;60732;330;100;60774;B185;PL_RELOC
Vehicle1;330;100;60774;330;100;60776;B186;PL_RELOC
Vehicle1;330;100;60776;330;100;60778;B188;PL_RELOC
Vehicle1;330;100;60778;330;100;60780;B94;PL_RELOC
Vehicle1;330;100;60780;330;100;60782;B95;PL_RELOC
Vehicle1;330;100;60782;290;100;60824;B184;PU
Vehicle1;290;100;60824;290;100;60826;B183;PU
Vehicle1;290;100;60826;0;100;61118;B183;PL
Vehicle2;940;100;60888;940;100;60890;B833;PU
Vehicle2;940;100;60890;940;100;60892;B832;PU
Vehicle2;940;100;60892;940;100;60894;B831;PU
Vehicle2;940;100;60894;150;100;61686;B831;PL_RELOC
Vehicle1;0;100;61118;390;100;61510;B289;PU
Vehicle0;0;100;61374;850;100;62226;B745;PU
Vehicle1;390;100;61510;390;100;61512;B288;PU
Vehicle1;390;100;61512;0;100;61904;B288;PL
Vehicle2;150;100;61686;150;100;61688;B832;PL_RELOC
Vehicle2;150;100;61688;150;100;61690;B833;PL_RELOC
Vehicle2;150;100;61690;150;100;61692;B834;PL_RELOC
Vehicle2;150;100;61692;150;100;61694;B837;PL_RELOC
Vehicle2;150;100;61694;940;100;62486;B830;PU
Vehicle1;0;100;61904;390;100;62296;B287;PU
Vehicle0;850;100;62226;850;100;62228;B744;PU
Vehicle0;850;100;62228;850;100;62230;B743;PU
Vehicle0;850;100;62230;0;100;63082;B743;PL
Vehicle1;390;100;62296;390;100;62298;B286;PU
Vehicle1;390;100;62298;390;100;62300;B285;PU
Vehicle1;390;100;62300;330;100;62362;B285;PL_RELOC
Vehicle1;330;100;62362;330;100;62364;B286;PL_RELOC
Vehicle1;330;100;62364;330;100;62366;B287;PL_RELOC
Vehicle1;330;100;62366;330;100;62368;B289;PL_RELOC
Vehicle1;330;100;62368;390;100;62430;B284;PU
Vehicle1;390;100;62430;390;100;62432;B283;PU
Vehicle1;390;100;62432;0;100;62824;B283;PL
Vehicle2;940;100;62486;0;100;63428;B830;PL
Vehicle1;0;100;62824;500;100;63326;B398;PU
Vehicle0;0;100;63082;1060;100;64144;B959;PU
Vehicle1;500;100;63326;500;100;63328;B397;PU
Vehicle1;500;100;63328;500;100;63330;B396;PU
Vehicle1;500;100;63330;730;100;63562;B396;PL_RELOC
Vehicle2;0;100;63428;130;100;63560;B29;PU
Vehicle2;130;100;63560;130;100;63562;B28;PU
Vehicle1;730;100;63562;730;100;63564;B397;PL_RELOC
Vehicle2;130;100;63562;130;100;63564;B27;PU
Vehicle1;730;100;63564;730;100;63566;B398;PL_RELOC
Vehicle2;130;100;63564;0;100;63696;B27;PL
Vehicle1;730;100;63566;730;100;63568;B284;PL_RELOC
Vehicle1;730;100;63568;730;100;63570;B184;PL_RELOC
Vehicle1;730;100;63570;500;100;63802;B395;PU
Vehicle2;0;100;63696;130;100;63828;B26;PU
Vehicle1;500;100;63802;500;100;63804;B394;PU
Vehicle1;500;100;63804;500;100;63806;B393;PU
Vehicle1;500;100;63806;0;100;64308;B393;PL
Vehicle2;130;100;63828;0;100;63960;B26;PL
Vehicle2;0;100;63960;220;100;64182;B119;PU
Vehicle0;1060;100;64144;1060;100;64146;B958;PU
Vehicle0;1060;100;64146;1060;100;64148;B957;PU
Vehicle0;1060;100;64148;0;100;65210;B957;PL
Vehicle2;220;100;64182;220;100;64184;B118;PU
Vehicle2;220;100;64184;220;100;64186;B117;PU
Vehicle2;220;100;64186;370;100;64338;B117;PL_RELOC
Vehicle1;0;100;64308;500;100;64810;B392;PU
Vehicle2;370;100;64338;370;100;64340;B118;PL_RELOC
Vehicle2;370;100;64340;370;100;64342;B119;PL_RELOC
Vehicle2;370;100;64342;370;100;64344;B28;PL_RELOC
Vehicle2;370;100;64344;370;100;64346;B29;PL_RELOC
Vehicle2;370;100;64346;220;100;64498;B116;PU
